id,date,contact,noSkiffs,pob,activityType,success,shipName,noSeafarers,shipType,flagState,crewSize,waterClass,movementType,locationType,locationDescription,lat,lon,theft,armsType,theftType,theftEstimate,injuryDescription,addlInfo,extraNote,notCounted
0,5/5/2016,,1,,,FALSE,,0,,,,,,,,3.835833333,5.4025,,,,,,,,FALSE
0,5/5/2016,,1,,,FALSE,,0,,,,,,,,3.901111111,5.533333333,,,,,,,,FALSE
0,5/7/2016,,2,7,,FALSE,,0,,,,,,,,3.7,5.166666667,,,,,,,,FALSE
0,3/9/2016,,1,3,,TRUE,,0,,,,,,,,5.874444444,13.03833333,,,,,,,,TRUE
0,8/7/2016,,1,2,,TRUE,,0,,,,,,,,4.735833333,11.7675,,,,,,,,FALSE
0,8/13/2016,,1,2,,TRUE,,0,,,,,,,,6.433333333,3.370277778,,,,,,,,TRUE
0,8/17/2016,,1,9,,TRUE,,0,,,,,,,,3.9,7.15,Minor Robbery,,,,,,,FALSE
0,7/7/2016,,1,,,TRUE,,0,,,,,,,,3.266666667,5.15,,,,,,,,FALSE
0,7/3/2016,,1,6,,TRUE,,0,,,,,,,,9.385,13.68555556,Minor Robbery,,,,,,,FALSE
0,1/19/2016,,1,2,,TRUE,,0,,,,,,,,4.75,11.83333333,,,,,,,,FALSE
0,2/11/2016,,2,14,,TRUE,,0,,,,,,,,4,4,Minor Robbery,,,,,,,FALSE
0,1/12/2016,,1,5,,TRUE,,0,,,,,,,,,,,,,,,,,TRUE
0,1/24/2016,,1,2,,TRUE,,0,,,,,,,,5.834722222,13.41916667,,,,,,,,FALSE
0,3/1/2016,,2,12,,TRUE,,0,,,,,,,,,,Minor Robbery,,,,,,,TRUE
0,2/14/2016,,3,,,FALSE,,0,,,,,,,,6.436666667,3.331666667,,,,,,,,TRUE
0,5/13/2016,,,,,FALSE,,0,,,,,,,,3.95,7.05,,,,,,,,FALSE
0,6/29/2016,,1,,,FALSE,,0,,,,,,,,5.083333333,6.266666667,,,,,,,,TRUE
0,6/27/2016,,1,3,,TRUE,,0,,,,,,,,,,Minor Robbery,,,,,,,TRUE
0,6/27/2016,,1,,,TRUE,,0,,,,,,,,,,,,,,,,,TRUE
0,6/26/2016,,,,,TRUE,,0,,,,,,,,,,,,,,,,,TRUE
0,6/25/2016,,1,,,TRUE,,0,,,,,,,,,,,,,,,,,FALSE
0,4/20/2016,,,,,FALSE,,0,,,,,,,,4.116666667,6.85,,,,,,,,FALSE
